GOOG,4/25/2019,1263.45,1099614,1264.77,1267.4083,1252.03
AMZN,4/25/2019,1902.25,5625972,1917.004,1922.45,1900.31
MSFT,4/26/2019,129.89,23306180,129.7,130.5152,129.02
GOOG,4/26/2019,1272.18,1228276,1269,1273.07,1260.32
AMZN,4/26/2019,1950.63,8396605,1929,1951,1898
MSFT,4/29/2019,129.77,16179580,129.9,130.18,129.35
GOOG,4/29/2019,1287.58,2412788,1274,1289.27,1266.2949
AMZN,4/29/2019,1938.43,4000052,1949,1956.335,1934.09
MSFT,4/30/2019,130.6,24041490,129.81,130.7,129.3947
GOOG,4/30/2019,1188.48,6194691,1185,1192.81,1175
AMZN,4/30/2019,1926.52,3492929,1930.1,1935.71,1906.95
MSFT,5/1/2019,127.88,26821690,130.53,130.65,127.7
GOOG,5/1/2019,1168.08,2642983,1188.05,1188.05,1167.18
AMZN,5/1/2019,1911.52,3116964,1933.09,1943.64,1910.55
MSFT,5/2/2019,126.21,27350160,127.98,128,125.52
GOOG,5/2/2019,1162.61,1944817,1167.76,1174.1895,1155.0018
AMZN,5/2/2019,1900.82,3962915,1913.33,1921.55,1881.87
MSFT,5/3/2019,128.9,24911130,127.36,129.43,127.25
GOOG,5/3/2019,1185.4,1980653,1173.65,1186.8,1169
AMZN,5/3/2019,1962.46,6381564,1949,1964.4,1936
MSFT,5/6/2019,128.15,24239460,126.39,128.56,126.11
GOOG,5/6/2019,1189.39,1563943,1166.26,1190.85,1166.26
AMZN,5/6/2019,1950.55,5417841,1917.98,1959,1910.5
MSFT,5/7/2019,125.52,36017660,126.46,127.18,124.22
GOOG,5/7/2019,1174.1,1551368,1180.47,1190.44,1161.04
AMZN,5/7/2019,1921,5902134,1939.99,1949.1005,1903.3795
MSFT,5/8/2019,125.51,28419000,125.44,126.37,124.75
GOOG,5/8/2019,1166.27,1309514,1172.01,1180.4243,1165.74
AMZN,5/8/2019,1917.77,4078568,1918.87,1935.37,1910
MSFT,5/9/2019,125.5,27235840,124.29,125.79,123.57
GOOG,5/9/2019,1162.38,1185973,1159.03,1169.66,1150.85
AMZN,5/9/2019,1899.87,5308263,1900,1909.4,1876
MSFT,5/10/2019,127.13,30915080,124.91,127.93,123.82
GOOG,5/10/2019,1164.27,1314546,1163.59,1172.6,1142.5
AMZN,5/10/2019,1889.98,5717994,1898,1903.79,1856
MSFT,5/13/2019,123.35,33944920,124.11,125.55,123.04
GOOG,5/13/2019,1132.03,1860648,1141.96,1147.94,1122.11
AMZN,5/13/2019,1822.68,5783410,1836.56,1846.535,1818
MSFT,5/14/2019,124.73,25266320,123.87,125.88,123.7
GOOG,5/14/2019,1120.44,1836604,1137.21,1140.42,1119.55
AMZN,5/14/2019,1840.12,4629107,1839.5,1852.44,1815.75
MSFT,5/15/2019,126.02,24722710,124.26,126.71,123.7
GOOG,5/15/2019,1164.21,2289302,1117.87,1171.33,1116.6657
AMZN,5/15/2019,1871.15,4692642,1827.95,1874.427,1823
MSFT,5/16/2019,128.93,30112220,126.75,129.38,126.46
GOOG,5/16/2019,1178.98,1531404,1164.51,1188.16,1162.84
AMZN,5/16/2019,1907.57,4707822,1885.94,1917.51,1882.29
MSFT,5/17/2019,128.07,25770540,128.305,130.46,127.92
GOOG,5/17/2019,1162.3,1208623,1168.47,1180.15,1160.01
